10年間	0000802100-005
unorthodox	0001199105
round sth out	0000431110
put sth down	0001101108	0001253106
orthodox	0001161107
ID	0000131106
disposition	0000807110
division	0000271104	0000318100	0000318200	0000318203	0000318103
dissolution	0000318110
liquid	0000702107
dominion	0001134107
dismiss	0000002106	0000432105
timid	0001016105
dip into 	0000895107
disunity	0000318209
idiot	0000447104
vivid	0000107105
kid	0000143107
kind	0000633100	0000634100	0000633103	0000634103
unkind	0000704106
drink	0000326100	0000327100	0000326103	0000327103
drill	0001164106
mild	0000481105	0001096109
pilot study	0001135107
solid	0000491304	0000702111	0001042100	0001042103
wild	0001238100	0001238103
dim	0000295100	0000295103
mind	0000123104	0000595104	0000708104	0000712100	0000712103
wisdom	0000637109
unwind	0000951108
drop into 	0001223108
drop in	0001223108
sit down	0001025104
disown	0000916104
window	0000764111
pundit	0000395107
wind up	0000036108	0000353109
industry	0000571100	0000856105	0000571103
untidy	0000887107	0001198100	0001198103
wind	0000237105
studious	0000594206
dip	0001036105
drip	0000328108
stupid	0000223105	0001087100	0001087103
distrust	0000983106	0001107105
dirt	0001041109
dirty	0000212106	0000296100	0000296103
tidy	0000340106	0000733104	0001147100	0001147103
dork	0000447109
dusk	0000743206
dusky	0000782109
dull	0000102104	0000162109	0000782106	0000881209
mouldy	0000967106
slowdown	0000901107
old	0000454104	0000761100	0000761200	0000848104	0000761203	0000761103
loud	0000682100	0000682103
dummy	0000405106
mound	0000523110
mood	0000061105	0000722100	0001128107	0000722103
dump	0000653405	0000876110	0000931108
dumpy	0001011208
drum	0000635105
mud	0001041104
turn round	0001175104
turn down	0000907108	0000913107
downturn	0000908108
rundown	0001095109
sundown	0000743209
don	0000654106
pop round	0001223109
donor	0001055104
round out	0000431110
put down	0001101108	0001253106
pound	0000083105	0000973113
round	0000477111	0001060106
sound	0000491305	0000993106
undo	0001187100	0001187103
wound	0000540105	0000582104	0000583104
down	0000273109
do	0000319100	0000489207	0000652107	0000691104	0000816206	0001070206	0000319103
odour	0000753100	0000753104
drop	0000328100	0000385206	0000406105	0000406207	0000908107	0001078106	0000328103
proud	0000487108	0000868100	0000868200	0000868203	0000868103
drowsy	0001152109
dour	0001074108
word	0000861105
rowdy	0001238107
dry	0000102109	0000614109	0001096104
dust	0000109106	0001041105
dusty	0000296104
study	0000336105	0000376106	0000652104	0000936104	0000943108
duty	0000950104	0001120105	0001122104
not see eye to eye with 	0000299108
self-esteem	0000294106
referee	0000626104
heterogeneous	0000316108
the reverse	0000766105
entrepreneur	0000386105
persevere	0000805106
keep yourself from sth	0001101208
freshen yourself up	0001229106
keep yourself from 	0001101208
get out of here	0000490104
self-government	0000569107
get to your feet	0001062107
get to feet	0001062107
refugee	0000911100	0000911103
interfere with sth	0000098104
interfere with 	0000098104
feel like sth	0001227107
refreshment	0000446107
set sth free	0000922107
feel like 	0001227107
free time	0000656105
unforeseen	0001104107
every so often	0001045110
foresee	0000837106
set free	0000922107
freeze	0000206106
get together	0000706106
get-together	0000370210
enlightenment	0000637108
togetherness	0000465111
get nowhere	0000402207
get here	0000055105
get there	0000007112	0000055105
engineer	0000279105
emerge	0000042104	0001176104
get on nerves	0000036107
revenge	0000956100	0000956104
the environment	0000732204
shopkeeper	0000247112
telephone	0000117207
inventiveness	0000589109
inexpensive	0000138109
prerequisite	0000185108
repetitive	0000102106
entitlement	0000961109
relieve	0000331104	0000934109
experiment	0001135104	0001136104
requirement	0000185104	0000735104
perimeter	0000335106
intervene	0000605100	0000605103
enterprise	0000173108	0000860108	0001159111
expensive	0000392100	0000392103
irreverent	0000969106
eyewitness	0001242108
extensive	0000641108	0001237105
repressive	0000940100	0000940103
expertise	0001027204
etiquette	0000947108
eerie	0000467110
reviewer	0000937108
sweetie	0000245109
relentless	0000200104
settlement	0000026105	0000796109
element	0000344100	0000702112	0000344103
lose your temper	0000680100	0000680104
lose temper	0000680100
employee	0001247104
extremely	0001217108
lose your nerve	0000783105
lose nerve	0000783105
to some extent	0000789107
extreme	0000885107	0001000106
esteem	0000014108	0000948106
presenter	0000843100	0000843103
represent	0000841207	0000938100	0000938200	0000938103	0000938203
expenses	0000214106
expense	0000849106
revenue	0000957100	0000957103
sneeze	0000215104
oversee	0000915105
preserve	0000112105	0000690104	0000866106
squeeze	0000778106	0000844105	0000873106
reverse	0000767104	0000934210
reserve	0000471107	0000771208	0000935105	0001097106
severe	0000812108	0001000105	0001074105	0001083111
fee	0000892105
offensive	0000063108	0000311107	0000755100	0000755103
feel sorry for 	0001048100
feel for 	0001048107
effortless	0000332106
sufferer	0000794106
feeling	0000061109	0000348105	0000542205	0000997104	0001219109
self-serving	0000994105
feelings	0000294107
fleeting	0001011107
freezing	0000461100	0000461103
refuge	0000910100	0001006107	0000910103
most of the time	0001209109
out of the question	0000556104
feverish	0000533108
keep from sth	0000847106	0001101208
freshen up	0001229106
refer to sth	0000709104
festivities	0000370209
lifetime	0000661205
from time to time	0001045106
keep fit	0001163206
lifeless	0000246106
lifestyle	0000661305
exemplify	0000938206
infrequently	0000891106
relief	0000027106	0000925100	0000935107	0000925103
fertile	0000857104
infrequent	0000890105
refine	0000559106
enjoy yourself	0000816106
keep from 	0000847106	0001101208
feel	0000061110	0000421100	0000512307	0000993107	0001143105	0001157104	0000421103
flee	0000436100	0000436103
frequently	0000759104
eventful	0000113206
leftover	0000379107
performer	0000010105
frequent	0000462100	0000462104
fervent	0000598111
put your feet up	0000951111
refer to 	0000709104
put feet up	0000951111
prefer	0000839100	0000839102
free	0000350106	0000458100	0000459100	0000459200	0000459300	0000922105	0000459203	0000459103	0000459303	0000458103
refuse	0000913100	0001230110	0000913103
refute	0000270106	0000313104
enlightening	0000580108
sightseeing	0001165105
keep sth going	0000690109
keep going	0000690109	0000805104
negligent	0000124104
heighten	0000567108
give sth over to sth	0000287106
put sth together	0000840106
see-through	0000157307
give rise to sth	0000129108
overwhelming	0001184104
enlighten	0001127110
righteousness	0000724109
seething	0000475108
give sth over to 	0000287106
give over to sth	0000287106
grit your teeth	0001149106
overweight	0000414105
sightseer	0001158108
grit teeth	0001149106
lengthen	0000388108
homogeneous	0000361108
go nowhere	0000402207
the gentry	0000345107
put together	0000840106
intelligent	0000596100	0000596103
privilege	0000818107	0000961105
uninteresting	0000102108
interesting	0000602100	0000602104
give rise to 	0000129108
seeming	0000041106
meeting	0000707100	0000707200	0000707103	0000707203
regime	0000493105
genuine	0000256106	0000896106
evening	0000743204
sovereignty	0000569105
sweeping	0001237108
give over to 	0000287106
progressive	0000885106
prestige	0001069105
register	0000667108	0000841310	0000904104
get well	0000905107
gentle	0000481100	0000998105	0000481103
government	0000493100	0000493200	0000493203	0000493103
gruesome	0001133310
merge	0000166105
governess	0001124107
generous	0000634105
genre	0000633110
energy	0000341107
grotesque	0001180107
get worse	0001251104
regret	0000498105	0000502105
gesture	0000008108	0000725106
greet	0000497100	0000497103
keep up with sth	0000199209
sheepish	0000347107
on the house	0000459207
put sth to the test	0001136107
enquire into sth	0000610108
keep up with 	0000199209
shoreline	0000163108
replenish	0000426108
silhouette	0001003109
meet with 	0000706104
enter into sth	0000623112
sixth sense	0000591105
periphery	0000335109
keep sth out	0000385205
keep sth up	0000199209	0000690108
let sth loose	0000922110
helpless	0001225105
hopeless	0000825211	0001207107
shelter	0000866109	0000910104	0001006100	0001006103
shelve	0000261110
wheel	0000114106	0001175108
phenomenon	0000370107	0000715105
theorem	0001139107
the system	0000069106
theme	0001089104
over the top	0000380105
put to the test	0001136107
see to sth	0000248108
sphere	0000049209
insensitive	0000586100	0000586103
impertinent	0000969110
intermittent	0000752106
misinterpret	0000718104
epitomize	0000938208
permissive	0001154106
impressive	0000558100	0000688105	0000558103
itemize	0000668109
enquire into 	0000610108
inventive	0000224109
interview	0000606100	0000606200	0000879104	0000606103	0000606203
sensitive	0000998100	0000998200	0000998300	0000998203	0000998103	0000998303
requisite	0000734106
exquisite	0000084210
juvenile	0000484109	0001256105
likeness	0001023107
leisurely	0000332204
implement	0000319108	0001155108
involvement	0000613100	0000613103
one-liner	0000624108
penniless	0000825109
politeness	0000947107
listener	0000068106
entirely	0000882208
entitle	0000029107	0000117106
repulsive	0000311106
sterile	0000155105
leisure	0000656100	0000656103
elite	0000345100	0001156113	0000345103
exile	0000391105	0000911107
immense	0000535110
memorize	0000652108
sometimes	0001045100	0001045103
immerse	0001036112
environment	0000360100	0000360103
nominee	0000122104
sentiment	0000348109	0001219112
investment	0000612100	0000612103
eminent	0000496206
equipment	0000363100	0000363103
epitome	0000377208
tiresome	0000038106
emotive	0000998208
premier	0001156110
premise	0001139205
non-existent	0000422105
enter into 	0000623112
pertinent	0000923105
uniqueness	0000544106
intense	0000598100	0000598103
pioneer	0000285204	0000649204
repression	0000939100	0000939103
expression	0000397100	0000397103
seriousness	0000554106
exertion	0000341108
interpret	0000396109
persistent	0000200106	0000462107
enquire	0000058104
interest	0000066104	0000599100	0000599200	0000600100	0000613108	0000858104	0000599103	0000599203	0000600104
inverse	0000767106
entire	0001236106
oppressive	0000940104
overview	0001095105
pressurize	0000844208
supervise	0000915104
petite	0001011205
require	0000268104	0000736104
retire	0000653304
series	0000999100	0000999103
revise	0000013106	0000652112
review	0000059105	0000376105	0000652114	0000936106
viewer	0000068104
seize	0000609105	0000631104	0001115307
enjoyment	0000470106
keen	0000330105
keep on	0000199108
keynote	0001089107
keep out	0000385205
revoke	0000121105
keep	0000199204	0000526105	0000630100	0000630200	0000630300	0000630400	0000927104	0000630103	0000630303	0000630403	0000630203
keep up	0000199209	0000690108
reek	0000753108
seek	0000058204	0000677205	0001173105
not very well	0001017105
let loose	0000922110
pretty well	0000030110
seller	0000247106
level	0000067110	0000152304	0000160108	0000269109	0000435105	0000441105	0000877105
unemployment	0001190100	0001190103
employment	0001245104
more or less	0000030106
petroleum	0000760109
employer	0000695105
temple	0000148104
personnel	0001059104
relent	0000486108
unsettle	0001249109
people	0000669107	0000799100	0000799103
explore	0000610104
resolve	0000252108	0000283105	0000946100	0000946103
revolve	0001054107
evolve	0000285105	0000285205	0001175208
repel	0001010111
sleep	0001028100	0001028103
sleepy	0000881108	0001152108
expel	0000385204	0000391100	0000391103
restless	0000952100	0000952103
wrestle	0000424105
letter	0000658100	0000658103
lever	0000114109
useless	0000564108	0001207100	0001207103
settle	0000188304	0000876112	0000946104
steely	0001074106
movement	0000725100	0001167105	0000725103
enemy	0000355100	0000355103
empower	0000029113
remorse	0000502106
remote	0000164210	0000848109
remove	0000931100	0001117105	0000931103
presume	0000243110	0000981306	0001099109
temper	0001128100	0001128104
meet up	0000706111
resume	0000199305
seem	0000993100	0000993103
meet	0000497107	0000512313	0000706100	0000706200	0000706300	0000706400	0000706103	0000706303	0000706403	0000706203
no-nonsense	0000897106
nonsense	0000744100	0000744103
uneven	0001215108
reopen	0000199308
response	0000039105
present	0000483104	0000485105	0000816210	0000841100	0000841200	0000841300	0000841400	0000900106	0000841403	0000841203	0000841103	0000841303
prevent	0000847100	0000847103
sneer	0000645107
ensure	0000357100	0000357103
enter	0000358100	0000623108	0000904105	0000358103
venture	0000243106	0000860106
nerve	0000219105
renew	0000199307
sense	0000421105	0000705104	0000997100	0001186104	0000997103
tense	0001082104	0001131100	0001149105	0001131103
teens	0000144107
ensue	0000445207
teen	0000484107	0001256108
tenet	0000851206
event	0000370100	0000370200	0000370103	0000370203
venue	0000811111
even	0000160105	0001071109
presuppose	0000981308
superpower	0000217107
reporter	0000937100	0000937103
protester	0000867100	0000867103
expose	0000955105	0001013205
restore	0000954209
extrovert	0001038107
overture	0000756105
oeuvre	0001245209
see to 	0000248108
peer	0001064105
repress	0001101112	0001101209
pressure	0000844206	0000845100	0000845200	0000845103	0000845204
express	0000157206	0000413109	0000981205
pretext	0000898112
expert	0000395100	0000558104	0000395103
steep	0000522106
sweep	0000109105
weep	0000234106
request	0000058206	0000942100	0001241104	0000942103
street	0000965104
serve	0000706407
exert	0001204107
see	0000492103	0000552105	0000677105	0000914108	0000992100	0001185104	0001223105	0000992103
sweet	0000634109	0001109100	0001109103
suffer from sth	0001092100	0001092103
suffer from 	0001092100
suffering	0000314106	0000779106
forgetful	0000124105
the fruits of sth	0000953108
the fruit of sth	0000953108
the fruits of 	0000953108
write sth off	0000222110
the fruit of 	0000953108
sell sth off	0000995104
set sth off	0001178107
fulfilment	0000978107
